Timestamp,PWM_Left,PWM_Right,Serial_Data
1738026250.5631552,0,0,161.29 | 161.29
1738026250.5633366,0,0,161.29 | 161.29
1738026250.563518,0,0,161.29 | 161.29
1738026250.5637128,0,0,161.29 | 161.29
1738026250.5639148,0,0,161.29 | 161.29
1738026250.5640986,0,0,161.29 | 161.29
1738026250.564283,0,0,172.41 | 172.41
1738026250.5644677,0,0,172.41 | 172.41
1738026250.5646546,0,0,172.41 | 172.41
1738026250.564844,0,0,172.41 | 172.41
1738026250.565029,0,0,172.41 | 172.41
1738026250.5652122,0,0,172.41 | 172.41
1738026250.565389,0,0,172.41 | 172.41
1738026250.565675,0,0,172.41 | Received value: 0
1738026250.5657752,0,0,172.41
1738026250.56596,0,0,172.41 | 172.41
1738026250.566144,0,0,172.41 | 172.41
1738026250.5796301,0,0,172.41 | 172.41
1738026250.579844,0,0,172.41 | 172.41
1738026250.5962505,0,0,172.41 | 172.41
1738026250.5964682,0,0,172.41 | 172.41
1738026250.6129405,0,0,143.88 | 179.86
1738026250.6131904,0,0,143.88 | 179.86
1738026250.6297634,0,0,143.88 | 179.86
1738026250.630131,0,0,143.88 | 179.86
1738026250.646486,0,0,143.88 | 179.86
1738026250.6470733,0,0,143.88 | 179.86
1738026250.6631057,0,0,143.88 | 179.86
1738026250.6637502,0,0,143.88 | 179.86
1738026250.6799538,0,0,143.88 | 179.86
1738026250.6962492,0,0,143.88 | 179.86
1738026250.696955,0,0,143.88 | 179.86
1738026250.7129617,0,0,143.88 | 179.86
1738026250.7134771,0,0,143.88 | 179.86
1738026250.7297559,0,0,143.88 | 179.86
1738026250.7303107,0,0,143.88 | 179.86
1738026250.7463684,0,0,143.88 | 179.86
1738026250.746786,0,0,143.88 | 179.86
1738026250.7629745,0,0,67.57 | 33.78
1738026250.7633007,0,0,67.57 | 33.78
1738026250.7797332,0,0,67.57 | 33.78
1738026250.7802763,0,0,67.57 | 33.78
1738026250.7962096,0,0,67.57 | 33.78
